爱|ài|yêu / yêu
一起|yīqǐ|cùng nhau
一月|Yīyuè|Tháng Một
医生/医师|yīshēng/yīshī|bác sĩ
英文|Yīngwén|Tiếng Anh
用|yòng|để sử dụng / với
有|yǒu|có / có, có
元|yuán|đơn vị tiền tệ
月|yuè|tháng
再见|zàijiàn|Tạm biệt, hẹn gặp lại
早|zǎo|Chào buổi sáng / sớm
早安|zǎo'ān|Chào buổi sáng
早上|zǎoshàng|buổi sáng
怎么|zěnme|như thế nào / tại sao
找|zhǎo|Tìm kiếm, săn đón / tìm được (việc làm, nhà ở, v.v.) / gặp gỡ, thăm viếng
这/这里/这里/这儿|zhè/zhèlǐ/zhèr|đây
知道|zhīdào|để biết, để nhận ra
中文|Zhōngwén|Tiếng Trung
中午|zhōngwǔ|trưa, giữa trưa
字|zì|tính cách
走|zǒu|đi bộ / bắt đầu đi / rời đi
做|zuò|làm (một việc gì đó) / tạo ra
坐|zuò|ngồi / cưỡi, đi (xe)
昨天|zuótiān|Hôm qua
矮|ǎi|ngắn, thấp
白|bái|trắng
饱|bǎo|đầy
包子|bāozi|bánh bao hấp nhân
杯子/杯|bēizi/bēi|cốc / dụng cụ phân loại (ly, cốc)
鼻子/鼻|bízi/bí|mũi
笔|bǐ|bút bi, bút chì
比|bǐ|dấu hiệu so sánh / để so sánh
边|biān|ở rìa
别|bié|đừng
冰|bīng|đá / làm lạnh, đông lạnh / băng
病|bìng|bệnh tật, ốm đau / bị ốm
不错|bùcuò|Không tệ, khá tốt.
菜|cài|rau / món ăn
餐厅|cāntīng|nhà hàng
长|cháng|dài
唱|chàng|hát
唱歌|chànggē|hát một bài hát
常常/常|chángcháng/cháng|thường xuyên, thường xuyên, định kỳ
出|chū|đi ra ngoài, bước ra ngoài
穿|chuān|để mặc
床|chuáng|giường
从|cóng|từ
错|cuò|sai
蛋|dàn|trứng
得|de|Được sử dụng sau động từ (V, Vp, Vs) để liên kết nó với cụm từ theo sau, chỉ ra tác dụng, mức độ, khả năng, v.v.
得|děi|phải, cần phải
等|děng|chờ đợi
低|dī|thấp / ít nhất
地方|dìfāng|nơi/phần
店|diàn|cửa hàng, tiệm
电脑|diànnǎo|máy tính
电视|diànshì|tivi
电影|diànyǐng|bộ phim
懂|dǒng|để hiểu
读|dú|đọc / đọc to / học tập
短|duǎn|ngắn
多久|duōjiǔ|bao lâu
饿|è|đói bụng
耳朵|ěrduo|tai
饭|fàn|cơm nấu chín
方便|fāngbiàn|thuận lợi
房间|fángjiān|phòng, phòng ngủ
房子|fángzi|nhà, tòa nhà
非常|fēicháng|rất nhiều, phi thường
飞机|fēijī|máy bay, máy bay
风|fēng|gió
分钟|fēnzhōng|phút
附近|fùjìn|gọn gàng, lân cận
感冒|gǎnmào|bị cảm lạnh
告诉|gàosù|Để cho người khác biết, để thông báo, để kể
歌|gē|bài hát
跟|gēn|và / tới / với / từ
公车|gōngchē|xe buýt địa phương, xe buýt
公园|gōngyuán|công viên
功课|gōngkè|bài tập về nhà
够|gòu|đủ, thích hợp
贵|guì|đắt
过|guò|băng qua / vượt qua / sau / kỷ niệm
国家|guójiā|quốc gia, đất nước
还|hái|vẫn còn/vẫn đang tiến hành/vẫn còn nữa/tuy nhiên/thậm chí còn hơn thế nữa/ngoài ra/khá/tạm được (tốt)/sớm nhất là/thậm chí/cũng/khác<br> [huán] trả lại/trả về<br> [Huán] họ Huan
还是|háishì|hoặc / vẫn còn, nhưng
黑|hēi|đen
红|hóng|màu đỏ
后年|hòunián|năm sau năm tới
后天|hòutiān|ngày kia
画|huà|Vẽ, tô màu/vẽ tranh, phác họa
花/花儿|huā/huār|hoa
会|huì|có thể, biết cách / sẽ
火车|huǒchē|xe lửa
鸡|jī|gà
计程车|jìchéngchē|Taxi
见|jiàn|gặp (ai đó)
件|jiàn|bộ phân loại cho các sự kiện và quần áo
教|jiāo|để dạy
教室|jiàoshì|lớp học
家人|jiārén|thành viên gia đình
介绍|jièshào|để giới thiệu
进|jìn|đi vào, bước vào
酒|jiǔ|rượu 
旧|jiù|đã qua sử dụng, cũ
觉得|juéde|cảm thấy / suy nghĩ
句子|jùzi|câu
开|kāi|Mở/bật/thiết lập một doanh nghiệp
开车|kāichē|lái xe
看病|kànbìng|đi khám bác sĩ / điều trị bệnh nhân
看到|kàndào|để xem
看见|kànjiàn|cái cưa
考试|kǎoshì|kiểm tra, thi cử / để kiểm tra, để thử nghiệm
可是|kěshì|nhưng, tuy nhiên, dù sao đi nữa
课|kè|lớp học, khóa học/bài học trong sách giáo khoa
空气|kōngqì|không khí
快|kuài|nhanh
快乐|kuàilè|vui mừng
筷子/筷|kuàizi/kuài|đũa
累|lèi|mệt
里|lǐ|nội thất, bên trong
辆|liàng|bộ phân loại cho phương tiện
礼拜天|Lǐbàitiān|Chủ nhật
里面|lǐmiàn|bên trong, nội thất
楼|lóu|(thứ tự) tầng
慢|màn|chậm
忙|máng|bận
马上|mǎshàng|ngay lập tức
美|měi|đẹp, xinh xắn
每|měi|mọi
门|mén|cửa, cổng
门口|ménkǒu|cửa ra vào, lối vào
面|miàn|mì
面包|miànbāo|bánh mỳ
明年|míngnián|năm tới
男|nán|nam giới
能|néng|có thể, có khả năng, có đủ điều kiện / có thể, được phép
念|niàn|đọc to / đăng ký, học tại
牛|niú|bò cái, bò đực, bò tơ
牛奶|niúnǎi|sữa
女|nǚ|nữ giới
怕|pà|sợ hãi, lo sợ
胖|pàng|mỡ, cân nặng
旁边/旁|pángbiān/páng|bên cạnh, dọc theo
便宜|piányí|rẻ
漂亮|piàoliàng|đẹp, xinh xắn
前面|qiánmiàn|đằng trước
前年|qiánnián|năm trước năm ngoái
前天|qiántiān|ngày hôm kia
起床|qǐchuáng|thức dậy
起来|qǐlái|thức dậy
球|qiú|quả bóng
然后|ránhòu|và sau đó,
肉|ròu|thịt
山|shān|núi, đồi
上课|shàngkè|Dạy học, đi học
生病|shēngbìng|bị ốm, bị bệnh
生日|shēngrì|sinh nhật
身体|shēntǐ|cơ thể / sức khỏe
事/事儿|shì/shìr|sự việc, vấn đề, chuyện
手|shǒu|tay
瘦|shòu|gầy, mảnh mai, nhỏ nhắn
舒服|shūfu|cảm thấy khỏe, thoải mái
水果|shuǐguǒ|hoa quả
说话|shuōhuà|để nói chuyện
所以|suǒyǐ|vì vậy, do đó
它|tā|Nó
汤|tāng|canh
天气|tiānqì|thời tiết
甜|tián|ngọt 
跳|tiào|nhảy
跳舞|tiàowǔ|để nhảy múa
听见|tīngjiàn|để nghe
痛|tòng|đau đớn
头|tóu|đầu/máy phân loại cho lợn hoặc gia súc
外国|wàiguó|nước ngoài
外头|wàitou|ngoài
玩|wán|Để vui chơi / để giải trí, để tận hưởng
晚|wǎn|muộn
晚餐/晚饭|wǎncān/wǎnfàn|bữa tối
碗|wǎn|bát/bộ phân loại để tính toán lượng thức ăn trong bát.
万|wàn|mười nghìn
为什么|wèishénme|Tại sao
午餐/午饭|wǔcān/wǔfàn|bữa trưa
下|xià|dưới / bên cạnh / xuống / xuống xe (phương tiện giao thông)
下课|xiàkè|sau giờ học, sau giờ học
先|xiān|Đầu tiên
像|xiàng|Giống như / tương tự
小吃|xiǎochī|đồ ăn nhẹ, đồ ăn đường phố
下雨|xiàyǔ|trời mưa
鞋子/鞋|xiézi/xié|đôi giày)
星期|xīngqí|tuần
姓|xìng|họ, tên họ
休息|xiūxí|để nghỉ ngơi, để thư giãn.
眼睛|yǎnjīng|mắt 
药|yào|thuốc men, dược phẩm
衣服/衣|yīfú/yī|quần áo, trang phục
一定|yīdìng|chắc chắn rồi, hoàn toàn đúng
一共/共|yīgòng/gòng|tổng cộng
一点/一点点/一点儿|yīdiǎn/yīdiǎndiǎn/yīdiǎnr|một chút
一些|yīxiē|một số, một vài
一样|yīyàng|giống nhau / tương đương
以后|yǐhòu|sau / trong tương lai
以前|yǐqián|trước đây / trong quá khứ
椅子/椅|yǐzi/yǐ|ghế
意思|yìsi|nghĩa
应该/应|yīnggāi/yīng|應 [yīng] đồng ý (làm điều gì đó)/nên/phải/cần/(pháp lý) sẽ<br> 應該 [yīnggāi] nên/phải/phải<br> 應 [yìng] trả lời/đáp lại/tuân thủ/giải quyết hoặc đối phó với<br> 應 [Yīng] họ Ying/Đài Loan pr. [Ying4]
因为|yīnwèi|bởi vì
右|yòu|Phải
右边|yòubiān|phía bên phải
又|yòu|lại, lặp đi lặp lại / nhiều hơn
有点/有一点/有点儿|yǒudiǎn/yǒuyīdiǎn/yǒudiǎnr|một chút
有时候/有时|yǒushíhòu/yǒushí|đôi khi, thỉnh thoảng
鱼|yú|cá
雨|yǔ|cơn mưa
运动|yùndòng|để tập thể dục / thể thao
再|zài|lại / nhiều hơn (thời gian) / nhiều hơn
在|zài|ở, ở trong, đang làm (một việc gì đó)
早餐/早饭|zǎocān/zǎofàn|bữa sáng
怎么样|zěnmeyàng|Bạn nghĩ thế nào về...?
站|zhàn|để dừng/trạm, điểm dừng xe buýt
张|zhāng|bộ phân loại cho các đối tượng phẳng
真|zhēn|thực sự, thật sự, đúng vậy / thật, thật
真的|zhēnde|thực sự, rất
枝|zhī|Bộ phân loại cho bút, que, thanh, v.v.
纸|zhǐ|giấy
只|zhǐ|chỉ đơn thuần là vậy thôi
中|zhōng|trung bình
钟头|zhōngtóu|giờ
周末|zhōumò|ngày cuối tuần
住|zhù|cư trú, ở lại
猪|zhū|con lợn
桌子/桌|zhuōzi/zhuō|bàn, kệ/giá đựng chén đĩa
自己|zìjǐ|bản thân
走路|zǒulù|đi bộ
最|zuì|nhất
嘴巴/嘴|zuǐba/zuǐ|miệng
左|zuǒ|bên trái
啊|a|Thán từ biểu thị sự ngạc nhiên hoặc nghi ngờ: Hả?, Trời ơi!, chuyện gì vậy?, À!, Ồ! / Thán từ hoặc tiếng càu nhàu đồng ý: Ừm, À, được rồi.
把|bǎ|Bộ phân loại cho các đối tượng có tay cầm, bộ phân loại cho các đối tượng nhỏ: nắm tay
班|bān|hạng/mã phân loại cho các chuyến bay hoặc số hiệu chuyến bay
办法|bànfǎ|phương pháp, cách thức, phương tiện
帮|bāng|vì
帮忙|bāngmáng|giúp đỡ, hỗ trợ, trợ giúp, giúp đỡ, hỗ trợ
帮助|bāngzhù|giúp đỡ, hỗ trợ, trợ giúp / giúp đỡ, hỗ trợ, trợ giúp
棒|bàng|Tuyệt vời, xuất sắc
包|bāo|để gói
北|běi|phía bắc
被|bèi|dấu hiệu dạng bị động
本来|běnlái|ban đầu, lúc đầu
变|biàn|Trở thành, thay đổi, biến đổi, chuyển hóa
别人|biérén|những người khác
比较/较|bǐjiào/jiào|tương đối, so sánh
病人|bìngrén|kiên nhẫn
比赛|bǐsài|cạnh tranh / cuộc thi, cuộc tranh tài, trò chơi
部|bù|Bộ phân loại dành cho phim ảnh, máy móc, v.v.
部分/部份|bùfèn|các bộ phận của / phần, đoạn, mảnh
不过|bùguò|nhưng, tuy nhiên
才|cái|chỉ một
参加|cānjiā|tham gia, tham dự
差不多|chābùduō|gần như vậy / xấp xỉ, đại khái, gần như
场|chǎng|phân loại cho các hoạt động thể thao hoặc giải trí
成绩|chéngjī|thành tích, hồ sơ thành tích, điểm số
春天/春|chūntiān/chūn|mùa xuân
次|cì|Bộ phân loại cho các sự kiện được liệt kê: thời gian
戴|dài|Đeo vào hoặc mặc (kính, mũ, găng tay, v.v.)
当|dāng|là, đảm nhiệm vai trò, chịu trách nhiệm
当然|dāngrán|tất nhiên, chắc chắn rồi
但是/但|dànshì/dàn|nhưng, tuy nhiên
道|dào|Bộ phân loại dành cho cửa, bát đĩa, v.v.
大人|dàrén|người lớn, người trưởng thành, người cao tuổi
地|de|dấu hiệu trạng từ
地|dì|đất, mặt đất, tầng
电|diàn|điện, năng lượng
第一|dìyī|Đầu tiên, quan trọng nhất, tốt nhất, quan trọng nhất
冬天/冬|dōngtiān/dōng|mùa đông
方法|fāngfǎ|phương pháp, cách thức
放|fàng|đặt, để
发现|fāxiàn|khám phá, tìm thấy
份|fèn|Bộ phân loại dành cho quà tặng, báo, tạp chí, tài liệu, báo cáo, hợp đồng, v.v.
干净|gānjìng|lau dọn
敢|gǎn|dám
刚刚/刚|gānggāng/gāng|Vừa nãy, cách đây một khoảnh khắc.
高兴|gāoxìng|vui vẻ, hạnh phúc, hân hoan
高中|gāozhōng|trường trung học phổ thông
各|gè|mỗi, từng
更|gèng|thậm chí còn hơn thế nữa
公司|gōngsī|công ty
狗|gǒu|chó, chó con
故事|gùshì|câu chuyện
海|hǎi|biển, đại dương
行|háng|bộ phân loại cho các hàng
好像|hǎoxiàng|Có vẻ như…
后来|hòulái|sau đó, sau này, rồi
还|huán|trở lại, trả lại
黄|huáng|màu vàng
欢迎|huānyíng|để chào đón
回|huí|quay lại
回到|huídào|trở lại, quay về
活动|huódòng|hoạt động 
火|huǒ|ngọn lửa
或是|huòshì|hoặc
加|jiā|cộng thêm / để thêm
间|jiān|bộ phân loại cho các phòng
简单|jiǎndān|đơn giản
健康|jiànkāng|khỏe mạnh / sức khỏe
讲|jiǎng|để nói chuyện
家庭|jiātíng|gia đình, hộ gia đình
记得|jìde|để nhớ
接|jiē|đón ai đó
计划|jìhuà|kế hoạch, dự án / để lập kế hoạch
机会|jīhuì|cơ hội, cơ hội
近|jìn|gần, sát
进步|jìnbù|để cải thiện, để tiến bộ,
经过|jīngguò|để vượt qua
经验|jīngyàn|kinh nghiệm
紧张|jǐnzhāng|lo lắng
句|jù|bộ phân loại cho các cụm từ hoặc dòng thơ
决定|juédìng|quyết định, xác định / quyết định, sự xác định
开始|kāishǐ|để bắt đầu, để bắt đầu
可爱|kě'ài|dễ thương
客人|kèrén|khách hàng, thân chủ, khách mời, người tham quan
哭|kū|khóc, than thở
苦|kǔ|vị đắng
啦|la|Tiểu từ cuối câu: không mang ý nghĩa tham chiếu, nhưng có thể liên quan đến thể thức ngôn ngữ, cấp độ ngôn ngữ hoặc các hiệu ứng thực dụng khác.
拉|lā|kéo
老板|lǎobǎn|ông chủ, người bán hàng, chủ cửa hàng
老人|lǎorén|người già, người cao tuổi, ông già hoặc bà già, người lớn tuổi
离|lí|từ
脸|liǎn|khuôn mặt
练习|liànxí|để luyện tập / thực hành
聊天/聊|liáotiān/liáo|để trò chuyện
离开|líkāi|rời đi
旅行|lǚxíng|đi du lịch / chuyến đi
绿|lǜ|màu xanh lá
马|mǎ|ngựa
卖|mài|để bán
猫|māo|con mèo
名|míng|Bộ phân loại dành cho người dùng / Bộ phân loại để xếp hạng
哪|na|xen vào: Ah
那么|nàme|vậy nên, rất
南|nán|phía nam
能力|nénglì|khả năng, năng lực
年轻|niánqīng|trẻ
鸟|niǎo|chim
努力|nǔlì|Nỗ lực hết mình, cố gắng hết sức, làm việc chăm chỉ/nỗ lực
跑|pǎo|để chạy
片|piàn|mảnh(các)
票|piào|vé
平常|píngcháng|sự phổ biến, bình thường, thông thường
骑|qí|cưỡi (động vật hoặc xe đạp)
奇怪|qíguài|kỳ lạ, khác thường, lạ lùng
汽车|qìchē|xe hơi
清楚|qīngchǔ|để rõ ràng
其他/其它|qítā|khác, nếu không thì
全|quán|tất cả, hoàn toàn
全部|quánbù|tất cả, toàn bộ
让|ràng|cho phép, để ai đó làm điều gì đó
认识|rènshì|Để biết, để nhận ra, để hiểu
认为|rènwéi|suy nghĩ, tin tưởng, cân nhắc
如果|rúguǒ|nếu như
声|shēng|âm điệu / bộ phân loại cho âm thanh hoặc giọng nói
声音/声|shēngyīn/shēng|giọng nói, âm thanh
试|shì|để thử, để thử nghiệm
市场|shìchǎng|chợ
世界|shìjiè|thế giới
事情|shìqíng|sự việc, vấn đề, công việc, chuyện
树|shù|cây
双|shuāng|bộ phân loại cho các cặp
送|sòng|Đưa/giao/đưa ai đó đến một nơi nào đó
算|suàn|để đếm, để tính toán
虽然/虽|suīrán/suī|mặc dù
所|suǒ|Bộ phân loại dành cho nhà ở, các công trình nhỏ, các tổ chức, v.v.
所有|suǒyǒu|tất cả, mọi
台|tái|viết tắt của Đài Loan / bộ phân loại cho máy tính,
特别|tèbié|đặc biệt, độc nhất / đặc biệt, duy nhất, nhất là
替|tì|vì
条|tiáo|Bộ phân loại dành cho những vật thể dài và mỏng (dải ruy băng, dòng sông, con đường, quần tây, v.v.)
听到|tīngdào|đã nghe
听说|tīngshuō|Tôi nghe nói rằng…, người ta đồn rằng…, mọi người nói rằng…
图|tú|hình ảnh, bản vẽ
往|wǎng|đến, hướng tới
网路|wǎnglù|internet, mạng
味道/味|wèidào/wèi|vị, mùi, hương vị
文化|wénhuà|văn hóa, văn minh
屋子/屋|wūzi/wū|phòng
西|xī|phía tây
洗|xǐ|để giặt
香|xiāng|thơm, có mùi hương
想法|xiǎngfǎ|ý tưởng, suy nghĩ, tư duy
向|xiàng|ĐẾN
相片/照片|xiàngpiàn/zhàopiàn|ảnh, bức ảnh
相信|xiāngxìn|tin tưởng, đặt niềm tin
小时候|xiǎoshíhòu|thời thơ ấu
小心|xiǎoxīn|hãy cẩn thận
小朋友|xiǎopéngyǒu|những đứa trẻ
笑|xiào|cười, mỉm cười
夏天/夏|xiàtiān/xià|mùa hè
习惯|xíguàn|thói quen, phong tục / được dùng để
心|xīn|tâm trí, trái tim
辛苦|xīnkǔ|Khó khăn, vất vả, mệt mỏi
信|xìn|thư, bưu phẩm
行|xíng|ổn thôi
希望|xīwàng|hy vọng, mong muốn, ước ao
学习|xuéxí|để học tập, để nghiên cứu
需要/需|xūyào/xū|cần, yêu cầu / nhu cầu
呀|ya|xen vào: Ah
样子|yàngzi|vẻ bề ngoài
颜色|yánsè|màu sắc, màu sắc
医院|yīyuàn|bệnh viện
一半|yībàn|một nửa
一下子/一下|yīxiàzi/yīxià|Trong một thời gian ngắn, tất cả cùng một lúc, đột ngột
一直|yīzhí|thẳng thắn / liên tục, luôn luôn, cho đến khi
以为|yǐwéi|(Ai đó) nghĩ
已经|yǐjīng|đã có, có + p.p.
银行|yínháng|ngân hàng
音乐|yīnyuè|âm nhạc
有的|yǒude|một số
远|yuǎn|xa xôi, cách xa
愿意|yuànyì|sẵn sàng
语言/语|yǔyán/yǔ|ngôn ngữ
怎么办|zěnmebàn|Vậy thì nên làm gì?
长|zhǎng|lớn lên / trông giống (ai đó hoặc không trông giống ai đó)
找到|zhǎodào|đã tìm kiếm và tìm thấy
这么|zhème|vậy nên, rất
支|zhī|bộ phân loại cho các vật hình que như bút và súng.
只|zhī|Từ loại dùng để chỉ các loài chim và một số loài động vật, một trong một cặp, một số dụng cụ, đồ đựng, v.v.
中间|zhōngjiān|trung tâm, giữa
种|zhǒng|bộ phân loại cho các loại, kiểu
重|zhòng|nặng
重要|zhòngyào|quan trọng
转|zhuǎn|xoay, chuyển hướng, thay đổi
准备|zhǔnbèi|chuẩn bị, sẵn sàng
注意|zhùyì|hãy chú ý, hãy cẩn thận
总是/总|zǒngshì/zǒng|luôn luôn
最后|zuìhòu|Cuối cùng
最近|zuìjìn|gần đây
作业|zuòyè|bài tập ở trường, bài tập về nhà
阿姨|āyí|dì, cô
白天|báitiān|ban ngày, ngày
百货公司|bǎihuògōngsī|cửa hàng bách hóa
搬|bān|di chuyển
搬家|bānjiā|chuyển nhà, di dời
办公室|bàngōngshì|văn phòng
棒球|bàngqiú|bóng chày
报纸|bàozhǐ|báo
巴士|bāshì|xe buýt
背包|bēibāo|balo
北部|běibù|phần phía bắc
本子|běnzi|sổ tay
笨|bèn|ngu ngốc, khờ khạo, vụng về
便利商店|biànlìshāngdiàn|cửa hàng tiện lợi
别的|biéde|khác
比方说/比方|bǐfāngshuō/bǐfāng|ví dụ, chẳng hạn, phép tương tự
冰块|bīngkuài|viên đá, khối đá
冰淇淋|bīngqílín|kem
冰箱|bīngxiāng|tủ lạnh
伯伯/伯|bóbo/bó|chú, ông già
不好意思|bùhǎoyìsi|Cảm thấy xấu hổ, thấy xấu hổ / Xin lỗi, thứ lỗi cho tôi.
不见了|bùjiànle|mất tích
不客气|bùkèqì|Không có gì, đừng bận tâm.
菜单|càidān|thực đơn
餐|cān|bộ phân loại cho bữa ăn
草|cǎo|cỏ, rơm
茶馆|cháguǎn|quán trà
炒|chǎo|để chiên
超商|chāoshāng|cửa hàng tiện lợi
超市/超级市场|chāoshì/chāojíshìchǎng|siêu thị
叉子/叉|chāzi/chā|cái nĩa
车站|chēzhàn|nhà ga, điểm dừng
臭|chòu|hôi thối, bốc mùi
窗/窗户/窗子|chuāng/chuānghù/chuāngzi|cửa sổ
聪明|cōngmíng|Thông minh, tài giỏi, khéo léo
从前|cóngqián|trước đây, rất lâu về trước
袋|dài|bộ phân loại cho túi
袋子|dàizi|cái túi
打算|dǎsuàn|lập kế hoạch, dự định, tính toán/lập kế hoạch, ý định
大楼|dàlóu|tòa nhà (một tòa nhà tương đối lớn, nhiều tầng)
大门|dàmén|lối vào, cổng
大衣|dàyī|áo khoác, áo choàng
蛋糕|dàngāo|bánh ngọt
刀子/刀|dāozi/dāo|dao
灯|dēng|đèn, ánh sáng, đèn lồng
德文|Déwén|Tiếng Đức (ngôn ngữ)
点心|diǎnxīn|đồ ăn nhẹ, món tráng miệng, bánh ngọt
电梯|diàntī|thang máy
