愛|ài|yêu / yêu
要|yào|phải, nên / muốn / sẽ / muốn / tốn kém, cần
也|yě|Mà còn
一|yī|một
一起|yīqǐ|cùng nhau
一月|Yīyuè|Tháng Một
醫生/醫師|yīshēng/yīshī|bác sĩ
英文|Yīngwén|Tiếng Anh
用|yòng|để sử dụng / với
有|yǒu|có / có, có
元|yuán|đơn vị tiền tệ
月|yuè|tháng
再見|zàijiàn|Tạm biệt, hẹn gặp lại
早|zǎo|Chào buổi sáng / sớm
早安|zǎo'ān|Chào buổi sáng
早上|zǎoshàng|buổi sáng
怎麼|zěnme|như thế nào / tại sao
找|zhǎo|Tìm kiếm, săn đón / tìm được (việc làm, nhà ở, v.v.) / gặp gỡ, thăm viếng
這/這裡/這裏/這兒|zhè/zhèlǐ/zhèr|đây
知道|zhīdào|để biết, để nhận ra
中文|Zhōngwén|Tiếng Trung
中午|zhōngwǔ|trưa, giữa trưa
字|zì|tính cách
走|zǒu|đi bộ / bắt đầu đi / rời đi
做|zuò|làm (một việc gì đó) / tạo ra
坐|zuò|ngồi / cưỡi, đi (xe)
昨天|zuótiān|Hôm qua
矮|ǎi|ngắn, thấp
白|bái|trắng
飽|bǎo|đầy
包子|bāozi|bánh bao hấp nhân
杯子/杯|bēizi/bēi|cốc / dụng cụ phân loại (ly, cốc)
鼻子/鼻|bízi/bí|mũi
筆|bǐ|bút bi, bút chì
比|bǐ|dấu hiệu so sánh / để so sánh
邊|biān|ở rìa
別|bié|đừng
冰|bīng|đá / làm lạnh, đông lạnh / băng
病|bìng|bệnh tật, ốm đau / bị ốm
不錯|bùcuò|Không tệ, khá tốt.
菜|cài|rau / món ăn
餐廳|cāntīng|nhà hàng
長|cháng|dài
唱|chàng|hát
唱歌|chànggē|hát một bài hát
常常/常|chángcháng/cháng|thường xuyên, thường xuyên, định kỳ
出|chū|đi ra ngoài, bước ra ngoài
穿|chuān|để mặc
床|chuáng|giường
從|cóng|từ
錯|cuò|sai
蛋|dàn|trứng
得|de|Được sử dụng sau động từ (V, Vp, Vs) để liên kết nó với cụm từ theo sau, chỉ ra tác dụng, mức độ, khả năng, v.v.
得|děi|phải, cần phải
等|děng|chờ đợi
低|dī|thấp / ít nhất
地方|dìfāng|nơi/phần
店|diàn|cửa hàng, tiệm
電腦|diànnǎo|máy tính
電視|diànshì|tivi
電影|diànyǐng|bộ phim
懂|dǒng|để hiểu
讀|dú|đọc / đọc to / học tập
短|duǎn|ngắn
多久|duōjiǔ|bao lâu
餓|è|đói bụng
耳朵|ěrduo|tai
飯|fàn|cơm nấu chín
方便|fāngbiàn|thuận lợi
房間|fángjiān|phòng, phòng ngủ
房子|fángzi|nhà, tòa nhà
非常|fēicháng|rất nhiều, phi thường
飛機|fēijī|máy bay, máy bay
風|fēng|gió
分鐘|fēnzhōng|phút
附近|fùjìn|gọn gàng, lân cận
感冒|gǎnmào|bị cảm lạnh
告訴|gàosù|Để cho người khác biết, để thông báo, để kể
歌|gē|bài hát
跟|gēn|và / tới / với / từ
公車|gōngchē|xe buýt địa phương, xe buýt
公園|gōngyuán|công viên
功課|gōngkè|bài tập về nhà
夠|gòu|đủ, thích hợp
貴|guì|đắt
過|guò|băng qua / vượt qua / sau / kỷ niệm
國家|guójiā|quốc gia, đất nước
還|hái|vẫn còn/vẫn đang tiến hành/vẫn còn nữa/tuy nhiên/thậm chí còn hơn thế nữa/ngoài ra/khá/tạm được (tốt)/sớm nhất là/thậm chí/cũng/khác<br> [huán] trả lại/trả về<br> [Huán] họ Huan
還是|háishì|hoặc / vẫn còn, nhưng
黑|hēi|đen
紅|hóng|màu đỏ
後年|hòunián|năm sau năm tới
後天|hòutiān|ngày kia
畫|huà|Vẽ, tô màu/vẽ tranh, phác họa
花/花兒|huā/huār|hoa
會|huì|có thể, biết cách / sẽ
火車|huǒchē|xe lửa
雞|jī|gà
計程車|jìchéngchē|Taxi
見|jiàn|gặp (ai đó)
件|jiàn|bộ phân loại cho các sự kiện và quần áo
教|jiāo|để dạy
教室|jiàoshì|lớp học
家人|jiārén|thành viên gia đình
介紹|jièshào|để giới thiệu
進|jìn|đi vào, bước vào
酒|jiǔ|rượu 
舊|jiù|đã qua sử dụng, cũ
覺得|juéde|cảm thấy / suy nghĩ
句子|jùzi|câu
開|kāi|Mở/bật/thiết lập một doanh nghiệp
開車|kāichē|lái xe
看病|kànbìng|đi khám bác sĩ / điều trị bệnh nhân
看到|kàndào|để xem
看見|kànjiàn|cái cưa
考試|kǎoshì|kiểm tra, thi cử / để kiểm tra, để thử nghiệm
可是|kěshì|nhưng, tuy nhiên, dù sao đi nữa
課|kè|lớp học, khóa học/bài học trong sách giáo khoa
空氣|kōngqì|không khí
快|kuài|nhanh
快樂|kuàilè|vui mừng
筷子/筷|kuàizi/kuài|đũa
累|lèi|mệt
裡/裏|lǐ|nội thất, bên trong
輛|liàng|bộ phân loại cho phương tiện
禮拜天|Lǐbàitiān|Chủ nhật
裡面/裏面|lǐmiàn|bên trong, nội thất
樓|lóu|(thứ tự) tầng
慢|màn|chậm
忙|máng|bận
馬上|mǎshàng|ngay lập tức
美|měi|đẹp, xinh xắn
每|měi|mọi
門|mén|cửa, cổng
門口|ménkǒu|cửa ra vào, lối vào
麵|miàn|mì
麵包|miànbāo|bánh mỳ
明年|míngnián|năm tới
男|nán|nam giới
能|néng|có thể, có khả năng, có đủ điều kiện / có thể, được phép
唸/念|niàn|đọc to / đăng ký, học tại
牛|niú|bò cái, bò đực, bò tơ
牛奶|niúnǎi|sữa
女|nǚ|nữ giới
怕|pà|sợ hãi, lo sợ
胖|pàng|mỡ, cân nặng
旁邊/旁|pángbiān/páng|bên cạnh, dọc theo
便宜|piányí|rẻ
漂亮|piàoliàng|đẹp, xinh xắn
前面|qiánmiàn|đằng trước
前年|qiánnián|năm trước năm ngoái
前天|qiántiān|ngày hôm kia
起床|qǐchuáng|thức dậy
起來|qǐlái|thức dậy
球|qiú|quả bóng
然後|ránhòu|và sau đó,
肉|ròu|thịt
山|shān|núi, đồi
上課|shàngkè|Dạy học, đi học
生病|shēngbìng|bị ốm, bị bệnh
生日|shēngrì|sinh nhật
身體|shēntǐ|cơ thể / sức khỏe
事/事兒|shì/shìr|sự việc, vấn đề, chuyện
手|shǒu|tay
瘦|shòu|gầy, mảnh mai, nhỏ nhắn
舒服|shūfu|cảm thấy khỏe, thoải mái
水果|shuǐguǒ|hoa quả
說話|shuōhuà|để nói chuyện
所以|suǒyǐ|vì vậy, do đó
它|tā|Nó
湯|tāng|canh
天氣|tiānqì|thời tiết
甜|tián|ngọt 
跳|tiào|nhảy
跳舞|tiàowǔ|để nhảy múa
聽見|tīngjiàn|để nghe
痛|tòng|đau đớn
頭|tóu|đầu/máy phân loại cho lợn hoặc gia súc
外國|wàiguó|nước ngoài
外頭|wàitou|ngoài
玩|wán|Để vui chơi / để giải trí, để tận hưởng
晚|wǎn|muộn
晚餐/晚飯|wǎncān/wǎnfàn|bữa tối
碗|wǎn|bát/bộ phân loại để tính toán lượng thức ăn trong bát.
萬|wàn|mười nghìn
為什麼|wèishénme|Tại sao
午餐/午飯|wǔcān/wǔfàn|bữa trưa
下|xià|dưới / bên cạnh / xuống / xuống xe (phương tiện giao thông)
下課|xiàkè|sau giờ học, sau giờ học
先|xiān|Đầu tiên
像|xiàng|Giống như / tương tự
小吃|xiǎochī|đồ ăn nhẹ, đồ ăn đường phố
下雨|xiàyǔ|trời mưa
鞋子/鞋|xiézi/xié|đôi giày)
星期|xīngqí|tuần
姓|xìng|họ, tên họ
休息|xiūxí|để nghỉ ngơi, để thư giãn.
眼睛|yǎnjīng|mắt 
藥|yào|thuốc men, dược phẩm
衣服/衣|yīfú/yī|quần áo, trang phục
一定|yīdìng|chắc chắn rồi, hoàn toàn đúng
一共/共|yīgòng/gòng|tổng cộng
一點/一點點/一點兒|yīdiǎn/yīdiǎndiǎn/yīdiǎnr|một chút
一些|yīxiē|một số, một vài
一樣|yīyàng|giống nhau / tương đương
以後|yǐhòu|sau / trong tương lai
以前|yǐqián|trước đây / trong quá khứ
椅子/椅|yǐzi/yǐ|ghế
意思|yìsi|nghĩa
應該/應|yīnggāi/yīng|應 [yīng] đồng ý (làm điều gì đó)/nên/phải/cần/(pháp lý) sẽ<br> 應該 [yīnggāi] nên/phải/phải<br> 應 [yìng] trả lời/đáp lại/tuân thủ/giải quyết hoặc đối phó với<br> 應 [Yīng] họ Ying/Đài Loan pr. [Ying4]
因為|yīnwèi|bởi vì
右|yòu|Phải
右邊|yòubiān|phía bên phải
又|yòu|lại, lặp đi lặp lại / nhiều hơn
有點/有一點/有點兒|yǒudiǎn/yǒuyīdiǎn/yǒudiǎnr|một chút
有時候/有時|yǒushíhòu/yǒushí|đôi khi, thỉnh thoảng
魚|yú|cá
雨|yǔ|cơn mưa
運動|yùndòng|để tập thể dục / thể thao
再|zài|lại / nhiều hơn (thời gian) / nhiều hơn
在|zài|ở, ở trong, đang làm (một việc gì đó)
早餐/早飯|zǎocān/zǎofàn|bữa sáng
怎麼樣|zěnmeyàng|Bạn nghĩ thế nào về...?
站|zhàn|để dừng/trạm, điểm dừng xe buýt
張|zhāng|bộ phân loại cho các đối tượng phẳng
真|zhēn|thực sự, thật sự, đúng vậy / thật, thật
真的|zhēnde|thực sự, rất
枝|zhī|Bộ phân loại cho bút, que, thanh, v.v.
紙|zhǐ|giấy
只|zhǐ|chỉ đơn thuần là vậy thôi
中|zhōng|trung bình
鐘頭|zhōngtóu|giờ
週末/周末|zhōumò|ngày cuối tuần
住|zhù|cư trú, ở lại
豬|zhū|con lợn
桌子/桌|zhuōzi/zhuō|bàn, kệ/giá đựng chén đĩa
自己|zìjǐ|bản thân
走路|zǒulù|đi bộ
最|zuì|nhất
嘴巴/嘴|zuǐba/zuǐ|miệng
左|zuǒ|bên trái
啊|a|Thán từ biểu thị sự ngạc nhiên hoặc nghi ngờ: Hả?, Trời ơi!, chuyện gì vậy?, À!, Ồ! / Thán từ hoặc tiếng càu nhàu đồng ý: Ừm, À, được rồi.
把|bǎ|Bộ phân loại cho các đối tượng có tay cầm, bộ phân loại cho các đối tượng nhỏ: nắm tay
班|bān|hạng/mã phân loại cho các chuyến bay hoặc số hiệu chuyến bay
辦法|bànfǎ|phương pháp, cách thức, phương tiện
幫|bāng|vì
幫忙|bāngmáng|giúp đỡ, hỗ trợ, trợ giúp, giúp đỡ, hỗ trợ
幫助|bāngzhù|giúp đỡ, hỗ trợ, trợ giúp / giúp đỡ, hỗ trợ, trợ giúp
棒|bàng|Tuyệt vời, xuất sắc
包|bāo|để gói
北|běi|phía bắc
被|bèi|dấu hiệu dạng bị động
本來|běnlái|ban đầu, lúc đầu
變|biàn|Trở thành, thay đổi, biến đổi, chuyển hóa
別人|biérén|những người khác
比較/較|bǐjiào/jiào|tương đối, so sánh
病人|bìngrén|kiên nhẫn
比賽|bǐsài|cạnh tranh / cuộc thi, cuộc tranh tài, trò chơi
部|bù|Bộ phân loại dành cho phim ảnh, máy móc, v.v.
部分/部份|bùfèn|các bộ phận của / phần, đoạn, mảnh
不過|bùguò|nhưng, tuy nhiên
才|cái|chỉ một
參加|cānjiā|tham gia, tham dự
差不多|chābùduō|gần như vậy / xấp xỉ, đại khái, gần như
場|chǎng|phân loại cho các hoạt động thể thao hoặc giải trí
成績|chéngjī|thành tích, hồ sơ thành tích, điểm số
春天/春|chūntiān/chūn|mùa xuân
次|cì|Bộ phân loại cho các sự kiện được liệt kê: thời gian
戴|dài|Đeo vào hoặc mặc (kính, mũ, găng tay, v.v.)
當|dāng|là, đảm nhiệm vai trò, chịu trách nhiệm
當然|dāngrán|tất nhiên, chắc chắn rồi
但是/但|dànshì/dàn|nhưng, tuy nhiên
道|dào|Bộ phân loại dành cho cửa, bát đĩa, v.v.
大人|dàrén|người lớn, người trưởng thành, người cao tuổi
地|de|dấu hiệu trạng từ
地|dì|đất, mặt đất, tầng
電|diàn|điện, năng lượng
第一|dìyī|Đầu tiên, quan trọng nhất, tốt nhất, quan trọng nhất
冬天/冬|dōngtiān/dōng|mùa đông
方法|fāngfǎ|phương pháp, cách thức
放|fàng|đặt, để
發現|fāxiàn|khám phá, tìm thấy
份|fèn|Bộ phân loại dành cho quà tặng, báo, tạp chí, tài liệu, báo cáo, hợp đồng, v.v.
乾淨|gānjìng|lau dọn
敢|gǎn|dám
剛剛/剛|gānggāng/gāng|Vừa nãy, cách đây một khoảnh khắc.
高興|gāoxìng|vui vẻ, hạnh phúc, hân hoan
高中|gāozhōng|trường trung học phổ thông
各|gè|mỗi, từng
更|gèng|thậm chí còn hơn thế nữa
公司|gōngsī|công ty
狗|gǒu|chó, chó con
故事|gùshì|câu chuyện
海|hǎi|biển, đại dương
行|háng|bộ phân loại cho các hàng
好像|hǎoxiàng|Có vẻ như…
後來|hòulái|sau đó, sau này, rồi
還|huán|trở lại, trả lại
黃|huáng|màu vàng
歡迎|huānyíng|để chào đón
回|huí|quay lại
回到|huídào|trở lại, quay về
活動|huódòng|hoạt động 
火|huǒ|ngọn lửa
或是|huòshì|hoặc
加|jiā|cộng thêm / để thêm
間|jiān|bộ phân loại cho các phòng
簡單|jiǎndān|đơn giản
健康|jiànkāng|khỏe mạnh / sức khỏe
講|jiǎng|để nói chuyện
家庭|jiātíng|gia đình, hộ gia đình
記得|jìde|để nhớ
接|jiē|đón ai đó
計畫/計劃|jìhuà|kế hoạch, dự án / để lập kế hoạch
機會|jīhuì|cơ hội, cơ hội
近|jìn|gần, sát
進步|jìnbù|để cải thiện, để tiến bộ,
經過|jīngguò|để vượt qua
經驗|jīngyàn|kinh nghiệm
緊張|jǐnzhāng|lo lắng
句|jù|bộ phân loại cho các cụm từ hoặc dòng thơ
決定|juédìng|quyết định, xác định / quyết định, sự xác định
開始|kāishǐ|để bắt đầu, để bắt đầu
可愛|kě'ài|dễ thương
客人|kèrén|khách hàng, thân chủ, khách mời, người tham quan
哭|kū|khóc, than thở
苦|kǔ|vị đắng
啦|la|Tiểu từ cuối câu: không mang ý nghĩa tham chiếu, nhưng có thể liên quan đến thể thức ngôn ngữ, cấp độ ngôn ngữ hoặc các hiệu ứng thực dụng khác.
拉|lā|kéo
老闆/老板|lǎobǎn|ông chủ, người bán hàng, chủ cửa hàng
老人|lǎorén|người già, người cao tuổi, ông già hoặc bà già, người lớn tuổi
離|lí|từ
臉|liǎn|khuôn mặt
練習|liànxí|để luyện tập / thực hành
聊天/聊|liáotiān/liáo|để trò chuyện
離開|líkāi|rời đi
旅行|lǚxíng|đi du lịch / chuyến đi
綠|lǜ|màu xanh lá
馬|mǎ|ngựa
賣|mài|để bán
貓|māo|con mèo
名|míng|Bộ phân loại dành cho người dùng / Bộ phân loại để xếp hạng
哪|na|xen vào: Ah
那麼|nàme|vậy nên, rất
南|nán|phía nam
能力|nénglì|khả năng, năng lực
年輕|niánqīng|trẻ
鳥|niǎo|chim
努力|nǔlì|Nỗ lực hết mình, cố gắng hết sức, làm việc chăm chỉ/nỗ lực
跑|pǎo|để chạy
片|piàn|mảnh(các)
票|piào|vé
平常|píngcháng|sự phổ biến, bình thường, thông thường
騎|qí|cưỡi (động vật hoặc xe đạp)
奇怪|qíguài|kỳ lạ, khác thường, lạ lùng
汽車|qìchē|xe hơi
清楚|qīngchǔ|để rõ ràng
其他/其它|qítā|khác, nếu không thì
全|quán|tất cả, hoàn toàn
全部|quánbù|tất cả, toàn bộ
讓|ràng|cho phép, để ai đó làm điều gì đó
認識|rènshì|Để biết, để nhận ra, để hiểu
認為|rènwéi|suy nghĩ, tin tưởng, cân nhắc
如果|rúguǒ|nếu như
聲|shēng|âm điệu / bộ phân loại cho âm thanh hoặc giọng nói
聲音/聲|shēngyīn/shēng|giọng nói, âm thanh
試|shì|để thử, để thử nghiệm
市場|shìchǎng|chợ
世界|shìjiè|thế giới
事情|shìqíng|sự việc, vấn đề, công việc, chuyện
樹|shù|cây
雙|shuāng|bộ phân loại cho các cặp
送|sòng|Đưa/giao/đưa ai đó đến một nơi nào đó
算|suàn|để đếm, để tính toán
雖然/雖|suīrán/suī|mặc dù
所|suǒ|Bộ phân loại dành cho nhà ở, các công trình nhỏ, các tổ chức, v.v.
所有|suǒyǒu|tất cả, mọi
台/臺|tái|viết tắt của Đài Loan / bộ phân loại cho máy tính,
特別|tèbié|đặc biệt, độc nhất / đặc biệt, duy nhất, nhất là
替|tì|vì
條|tiáo|Bộ phân loại dành cho những vật thể dài và mỏng (dải ruy băng, dòng sông, con đường, quần tây, v.v.)
聽到|tīngdào|đã nghe
聽說|tīngshuō|Tôi nghe nói rằng…, người ta đồn rằng…, mọi người nói rằng…
圖|tú|hình ảnh, bản vẽ
往|wǎng|đến, hướng tới
網路|wǎnglù|internet, mạng
味道/味|wèidào/wèi|vị, mùi, hương vị
文化|wénhuà|văn hóa, văn minh
屋子/屋|wūzi/wū|phòng
西|xī|phía tây
洗|xǐ|để giặt
香|xiāng|thơm, có mùi hương
想法|xiǎngfǎ|ý tưởng, suy nghĩ, tư duy
向|xiàng|ĐẾN
相片/照片|xiàngpiàn/zhàopiàn|ảnh, bức ảnh
相信|xiāngxìn|tin tưởng, đặt niềm tin
小時候|xiǎoshíhòu|thời thơ ấu
小心|xiǎoxīn|hãy cẩn thận
小朋友|xiǎopéngyǒu|những đứa trẻ
笑|xiào|cười, mỉm cười
夏天/夏|xiàtiān/xià|mùa hè
習慣|xíguàn|thói quen, phong tục / được dùng để
心|xīn|tâm trí, trái tim
辛苦|xīnkǔ|Khó khăn, vất vả, mệt mỏi
信|xìn|thư, bưu phẩm
行|xíng|ổn thôi
希望|xīwàng|hy vọng, mong muốn, ước ao
學習|xuéxí|để học tập, để nghiên cứu
需要/需|xūyào/xū|cần, yêu cầu / nhu cầu
呀|ya|xen vào: Ah
樣子|yàngzi|vẻ bề ngoài
顏色|yánsè|màu sắc, màu sắc
醫院|yīyuàn|bệnh viện
一半|yībàn|một nửa
一下子/一下|yīxiàzi/yīxià|Trong một thời gian ngắn, tất cả cùng một lúc, đột ngột
一直|yīzhí|thẳng thắn / liên tục, luôn luôn, cho đến khi
以為|yǐwéi|(Ai đó) nghĩ
已經|yǐjīng|đã có, có + p.p.
銀行|yínháng|ngân hàng
音樂|yīnyuè|âm nhạc
有的|yǒude|một số
遠|yuǎn|xa xôi, cách xa
願意|yuànyì|sẵn sàng
語言/語|yǔyán/yǔ|ngôn ngữ
怎麼辦|zěnmebàn|Vậy thì nên làm gì?
長|zhǎng|lớn lên / trông giống (ai đó hoặc không trông giống ai đó)
找到|zhǎodào|đã tìm kiếm và tìm thấy
這麼|zhème|vậy nên, rất
支|zhī|bộ phân loại cho các vật hình que như bút và súng.
隻|zhī|Từ loại dùng để chỉ các loài chim và một số loài động vật, một trong một cặp, một số dụng cụ, đồ đựng, v.v.
中間|zhōngjiān|trung tâm, giữa
種|zhǒng|bộ phân loại cho các loại, kiểu
重|zhòng|nặng
重要|zhòngyào|quan trọng
轉|zhuǎn|xoay, chuyển hướng, thay đổi
準備|zhǔnbèi|chuẩn bị, sẵn sàng
注意|zhùyì|hãy chú ý, hãy cẩn thận
總是/總|zǒngshì/zǒng|luôn luôn
最後|zuìhòu|Cuối cùng
最近|zuìjìn|gần đây
作業|zuòyè|bài tập ở trường, bài tập về nhà
阿姨|āyí|dì, cô
白天|báitiān|ban ngày, ngày
百貨公司|bǎihuògōngsī|cửa hàng bách hóa
搬|bān|di chuyển
搬家|bānjiā|chuyển nhà, di dời
辦公室|bàngōngshì|văn phòng
棒球|bàngqiú|bóng chày
報紙|bàozhǐ|báo
巴士|bāshì|xe buýt
背包|bēibāo|balo
北部|běibù|phần phía bắc
本子|běnzi|sổ tay
笨|bèn|ngu ngốc, khờ khạo, vụng về
便利商店|biànlìshāngdiàn|cửa hàng tiện lợi
別的|biéde|khác
比方說/比方|bǐfāngshuō/bǐfāng|ví dụ, chẳng hạn, phép tương tự
冰塊|bīngkuài|viên đá, khối đá
冰淇淋|bīngqílín|kem
冰箱|bīngxiāng|tủ lạnh
伯伯/伯|bóbo/bó|chú, ông già
不好意思|bùhǎoyìsi|Cảm thấy xấu hổ, thấy xấu hổ / Xin lỗi, thứ lỗi cho tôi.
不見了|bùjiànle|mất tích
不客氣|bùkèqì|Không có gì, đừng bận tâm.
菜單|càidān|thực đơn
餐|cān|bộ phân loại cho bữa ăn
草|cǎo|cỏ, rơm
茶館|cháguǎn|quán trà
炒|chǎo|để chiên
超商|chāoshāng|cửa hàng tiện lợi
超市/超級市場|chāoshì/chāojíshìchǎng|siêu thị
叉子/叉|chāzi/chā|cái nĩa
車站|chēzhàn|nhà ga, điểm dừng
臭|chòu|hôi thối, bốc mùi
窗/窗戶/窗子|chuāng/chuānghù/chuāngzi|cửa sổ
聰明|cōngmíng|Thông minh, tài giỏi, khéo léo
從前|cóngqián|trước đây, rất lâu về trước
袋|dài|bộ phân loại cho túi
袋子|dàizi|cái túi
打算|dǎsuàn|lập kế hoạch, dự định, tính toán/lập kế hoạch, ý định
大樓|dàlóu|tòa nhà (một tòa nhà tương đối lớn, nhiều tầng)
大門|dàmén|lối vào, cổng
大衣|dàyī|áo khoác, áo choàng
蛋糕|dàngāo|bánh ngọt
刀子/刀|dāozi/dāo|dao
